bar_idx,episode_id,decision,direction,confidence,setup_type,realR,exitype,decisive_reason
4401,,REVIEW,LONG,50,demand_reclaim,2.76,WIN_HELD,"Strong reclaim body and recent oversold, but pressed directly under stacked d1+4H supply (0.11/0.27ATR) with bear-div present — target structurally blocked. Conflicting; human call."
4429,,SKIP,NONE,92,late_top,-0.11,SCRATCH,"Textbook TOP_EXHAUSTION: F_STRICT true, legpos 98.7, rsi 81, parabolic 6.75ATR rise, bear-div + NAS SHORT at supply. Never long this — short-side late_top, but no clean SHORT trigger so SKIP."
4483,,SKIP,NONE,66,unclear,1.82,WIN_HELD,"High legpos pullback with demand 5+ATR away and LATE_WIDE SL — no nearby backing, no convergence signal. Not a reclaim. Skip."
4513,,SKIP,NONE,70,late_top,0.49,SCRATCH,"High-legpos extended uptrend pressed under 0.41ATR supply with far demand and wide SL — late continuation into resistance, not a low-entry reclaim. Skip."
4530,,REVIEW,LONG,51,bull_pullback,1.28,WIN_HELD,Sharp pullback into d1 demand with clear upside runway (rare: supply not blocking) and below-VAL — but bearish CHoCH/NAS SHORT and rsi_1d 73.5 conflict. Genuine bull_pullback with risk; human review.
4574,,REVIEW,LONG,54,demand_reclaim,-1.1,STOP_LOSS,Tight V_REVERSAL demand reclaim colada in an uptrend pullback (winner-ish shape) but weak doji body and mid-high legpos with supply ~2ATR — partial convergence. Human review.
4609,,REVIEW,LONG,53,bull_pullback,3.9,WIN_RUNNER,"Sharp pullback with buy-bubble absorption (ratio 5) and low legpos at POC — bull_pullback edge candidate, but bearish CHoCH and d1 supply 0.3ATR overhead conflict. Human review."
4644,,SKIP,NONE,70,bull_pullback,2.17,WIN_HELD,"High in leg (legpos90 86) with d1 supply 0.58 ATR + 4h supply blocking 2ATR target; demand too far (2.67) to back entry. Buying into overhead near top of leg, not a backed reclaim."
4677,,SKIP,NONE,82,late_top,2.05,WIN_HELD,"Textbook late/extended: legpos90 98.2, trend_90 11.58, rise20 6.27 parabolic. Buying the absolute top of a blow-off leg. Classic LOSER signature."
4763,,REVIEW,LONG,50,demand_reclaim,-1.1,STOP_LOSS,"Fresh bullish CHoCH + rsi reset off oversold near sma50, but demand far (3.02) and supply 1.21 ATR blocks the 2ATR target. Partial convergence; demand not backing entry. Human judgment on overhead."
4899,,SKIP,NONE,68,late_top,-1.1,STOP_LOSS,Extended short-term leg (legpos30/60 ~98) into d1 supply 0.95 ATR with negative trend_90; rise20 5.7 already run. Buying near local top without demand backing.
4908,,REVIEW,LONG,42,demand_reclaim,-1.1,STOP_LOSS,"Mild value dip below VAL with small buy bubbles but no bullish reclaim body and demand far; falling 2 bars without confirmation. Weak convergence, defer to human."
4918,,TAKE,LONG,72,bottom_reversal,3.9,WIN_RUNNER,"Strong bottom_reversal convergence: capitulation (drop20 4.81, rsi 31), low legpos, fresh bullish CHoCH, strong reclaim body +0.88 off colada demand, NAS LONG, clean path (no 2/3ATR supply). The large SELL bubbles at oversold read as capitulation/absorption. Mirrors winner signature."
4926,,REVIEW,LONG,45,demand_reclaim,3.9,WIN_RUNNER,D1 demand right at price but negative reclaim body and 4h supply 1.61 blocks the target; no bullish confirmation candle. Mixed — colada d1 demand vs blocked target. Human review.
4964,,SKIP,NONE,90,late_top,-0.43,SCRATCH,"F_STRICT TOP_EXHAUSTION with legpos90 98.6, RSI 72 overbought, rise20 6.23 blow-off, SL 7.05 wide, dead hour. Unambiguous late-top LOSER signature. Hard skip."
4996,,TAKE,LONG,70,bottom_reversal,2.51,WIN_HELD,"V_REVERSAL_DEMAND with tight 1.27 SL on colada demand after 7-bar capitulation, climax volume 4.16, below VAL, sweet-spot knife. Tight risk + capitulation washout into demand = winner-shaped despite no CHoCH. The climax volume read as absorption."
5016,,SKIP,NONE,65,bull_pullback,-1.1,STOP_LOSS,"Strong macro uptrend but d1 supply 0.13 ATR immediately overhead and 4h supply blocks 2ATR target; high legpos, flat reclaim, no absorption. Target capped by supply wall right above."
5042,,SKIP,NONE,88,late_top,-0.41,SCRATCH,"F_STRICT TOP_EXHAUSTION, RSI 70.5, rise20 6.23 blow-off, no 4h demand to back entry, wide 6.73 SL, dead hour. Late-top LOSER signature even with large buy bubbles (FOMO at top)."
5055,,REVIEW,LONG,40,bull_pullback,-1.1,STOP_LOSS,"Pullback in mild uptrend with rsi reset, but 4h supply 1.63 blocks 2ATR target and no confirmation/absorption; demand not colada. Marginal — defer to human."
5087,,TAKE,LONG,68,demand_reclaim,-1.1,STOP_LOSS,"V_REVERSAL_DEMAND tight 1.06 SL on colada demand (0.12 reclaim dist), bullish reclaim body, mid legpos, after pullback. Winner-shaped risk profile. Caveat: 4h supply 0.34 ATR overhead caps immediate target, but tight risk + colada demand reclaim justify TAKE with human awareness of the cap."
5103,,TAKE,LONG,64,bottom_reversal,2.34,WIN_HELD,"V_REVERSAL_DEMAND tight 1.62 SL with d1 demand colada 0.37, low legpos, falling-knife into value (below VAL) with small buy-bubble absorption and prior bullish CHoCH. Tight risk + colada demand + low-leg capitulation = winner-shaped despite negative reclaim candle."
5147,,SKIP,NONE,58,bull_pullback,-0.8,SCRATCH,"Strong +2.3 reclaim candle but it's a 3.53x range expansion CHASE high in the short leg (legpos 84) into d1 supply 0.36 ATR overhead; demand far. Buying an outsized candle into a supply wall, not a backed low entry."
5165,,REVIEW,LONG,48,bottom_reversal,-1.1,STOP_LOSS,"Sharp rsi washout (34 drop) with buy-bubble absorption and bullish reclaim, but demand not touched/colada, d1 supply 0.24 ATR right overhead caps it, and the most recent CHoCH is bearish-colored. Conflicting structure — human review."
5296,,REVIEW,LONG,43,demand_reclaim,-1.1,STOP_LOSS,"Low legpos value dip below VAL but negative reclaim, macro trend_90 -5.79 down, SELL pressure and d1 supply 0.08 ATR immediately overhead. Weak convergence with overhead cap; defer."
5321,,SKIP,NONE,60,bear_bounce,-1.1,STOP_LOSS,"Bearish RSI divergence (A7 flag) + below sma50 in negative trend, with 4h supply 0.84 ATR right overhead blocking target and no absorption. The A7 anti-bear-div is a known loser filter; supply caps upside."
5331,,REVIEW,LONG,46,demand_reclaim,-1.1,STOP_LOSS,"Tight V_REVERSAL SL on colada demand with bullish reclaim and low legpos, but a fresh BEARISH BOS 3 bars ago plus 4h supply 1.17 overhead and SELL bubbles conflict with the long. Good risk shape vs bearish structure — human review."
5350,,REVIEW,LONG,44,demand_reclaim,-1.1,STOP_LOSS,"Bullish CHoCH flipping prior bearish BOS below VAL is constructive, but demand far (3.3), wide 3.4 SL, and d1 supply 0.19 ATR right overhead. Risk poorly formed and target capped; partial signal only."
5414,,SKIP,NONE,58,unclear,-1.1,STOP_LOSS,"Supply at 0.68ATR caps the 2ATR target and demand is 2+ATR away with no absorption/CHoCH trigger — no convergence for LONG, overhead blocks reward."
5435,,REVIEW,LONG,48,demand_reclaim,1.61,WIN_HELD,"Bullish BOS + clear 2ATR path + d1 demand colada argue LONG, but 4h demand is far and entry is 4 up-bars into the move — partial convergence, human edge useful."
5478,,SKIP,NONE,82,late_top,-1.1,STOP_LOSS,"Textbook late_top: legpos90 ~94, RSI>70, 6 consecutive up bars, F_STRICT TOP_EXHAUSTION — buying here is buying the top, exactly the loser signature."
5530,,SKIP,NONE,66,unclear,-1.1,STOP_LOSS,Supply at 0.27ATR sits on top blocking the entire 2ATR target and price is high in the leg (legpos90 78) — reward capped despite the reclaim; no room.
5555,,SKIP,NONE,62,bear_bounce,-1.1,STOP_LOSS,"Below SMA50 with supply 0.62ATR overhead and demand 4ATR away; the heavy SELL bubbles here are distribution into a weak bounce, not a defended bottom — bear_bounce, skip long."
5627,,REVIEW,LONG,52,bottom_reversal,1.96,WIN_HELD,"Genuine capitulation+CHoCH+NAS-long bottom signature, but 4h demand is 12ATR away and supply 0.85ATR overhead caps target — turn is real but the location/reward is poor; human judgment."
5668,,SKIP,NONE,80,late_top,-1.1,STOP_LOSS,"Blow-off top: legpos90 ~92, RSI70, +5ATR rise, TOP_EXHAUSTION, no demand backstop and wide SL — pure loser zone."
5701,,TAKE,LONG,63,demand_reclaim,-1.1,STOP_LOSS,"Demand reclaim at 0.7ATR with strong bullish reclaim body, bullish CHoCH and SELL-bubble absorption at the pullback low in an uptrend, clear path to target — multi-factor convergence matching winners."
5724,,REVIEW,LONG,42,bottom_reversal,0.9,WIN_BE,"Deeply oversold with d1 demand colada and tiny SL, but zero reversal confirmation (no bullish CHoCH, negative reclaim, heavy active selling) — falling with no turn yet; wait/human."
5772,,REVIEW,LONG,40,bottom_reversal,-1.1,STOP_LOSS,"Oversold near d1 demand with tight SL, but dead volume, no absorption and no bullish confirmation — capitulation without evidence of a turn; not a TAKE."
5826,,TAKE,LONG,68,bottom_reversal,3.9,WIN_RUNNER,"Extreme macro oversold (rsi_1d 19), deep legpos, demand colada with SELL-bubble capitulation absorption and a fully clear 5.9ATR path upward — strong bottom_reversal convergence with reward room."
5842,,SKIP,NONE,72,late_top,3.9,WIN_RUNNER,"Vertical +7.6ATR rally into supply at 0.18ATR with RSI71 — overbought, overextended and capped; chasing a blow-off into a wall."
5866,,SKIP,NONE,83,late_top,2.7,WIN_HELD,"At d1 supply (0.0ATR) with legpos90 ~97, RSI71, TOP_EXHAUSTION and euphoric buying — definitive top, loser signature."
5875,,SKIP,NONE,78,late_top,0.93,SCRATCH,"High in the leg (legpos90 90) at d1 supply 0.36ATR with a fresh bearish CHoCH and RSI rolling over — top exhaustion, no LONG."
5920,,SKIP,NONE,68,late_top,-1.1,STOP_LOSS,"Very high in a hot uptrend (legpos90 93, rsi_1d 74) with supply at 0.32ATR capping target — no reward room, top-chasing despite the strong trend."
5955,,TAKE,LONG,74,bottom_reversal,-1.1,STOP_LOSS,"V_REVERSAL_DEMAND with oversold falling-knife (RSI31, 6 down bars), fresh bullish CHoCH, SELL-bubble absorption and a clear 4.5ATR path — the highest-conviction bottom_reversal in the batch."
5998,,REVIEW,LONG,50,demand_reclaim,2.0,WIN_HELD,"Clean bullish CHoCH + strong reclaim body in non-toxic flat regime, but demand is ~2.8ATR away and reclaim is far from the zone — partial convergence, human edge."
6049,,SKIP,NONE,84,late_top,0.9,WIN_BE,"RSI 83 with legpos90 ~94 and TOP_EXHAUSTION — extreme blow-off top, the clearest SKIP in the batch."
6069,,REVIEW,LONG,47,bull_pullback,-1.1,STOP_LOSS,"Demand-colada V_REVERSAL with tiny SL is winner-like, but pulling back from rsi_1d 79 with a bearish CHoCH, negative reclaim and d1 supply 0.08ATR overhead — bullish micro vs toxic macro top; human call."
6119,,SKIP,NONE,56,unclear,0.31,SCRATCH,Entry is 5ATR from demand with a LATE_WIDE 5.36ATR swing stop — ill-formed risk detached from the zone; the lone bull-div doesn't justify it.
6162,,SKIP,NONE,82,late_top,-1.1,STOP_LOSS,"legpos90 94.6 at top of leg with rise20 4.01 and LATE_WIDE SL 4.56 and no 4h demand to lean on — classic anti-edge top/late entry, no bottom-reversal convergence."
6193,,REVIEW,LONG,58,demand_reclaim,-1.1,STOP_LOSS,"Oversold reclaim with V_REVERSAL_DEMAND tight SL, bullish CHoCH and NAS LONG argue for a long, but d1_supply 0.22 ATR directly overhead plus 3ATR supply block threatens the 2ATR target — partial convergence, human judgment adds value."
6210,,TAKE,LONG,71,bottom_reversal,-1.1,STOP_LOSS,Textbook bottom reversal: deep oversold + low legpos + demand colado defended (0.98 ATR) + tight V_REVERSAL_DEMAND SL 1.08 + bull-div + NAS LONG + SELL-bubble absorption at the low. Strong multifactor convergence matching winners; near-supply is the only caveat.
6295,,REVIEW,LONG,48,bull_pullback,-0.32,SCRATCH,"Neutral RSI, mid legpos, 4h demand 2.91 ATR away and NORMAL wide SL — no oversold/reversal trigger nor crisp demand reclaim. Only d1_demand colado supports; ambiguous, defer to human."
6362,,REVIEW,LONG,42,unclear,-1.1,STOP_LOSS,"Low legpos but RSI already recovered to 46 (no live oversold), demand 2.35 ATR away and supply blocking both 2/3ATR with d1_supply 0.67 overhead — overhead caps the target, weak convergence."
6376,,REVIEW,LONG,45,bottom_reversal,1.89,WIN_HELD,"Capitulation signature (low legpos, deep rsi_min8) and d1_demand colado favor reversal, but bearish BOS+CHoCH structure with 7 large sell bubbles and 4h demand far argues structure not yet turned — conflicting, human review."
6453,,SKIP,SHORT,78,late_top,0.13,SCRATCH,"Blow-off top: RSI 82, legpos 91, F_STRICT TOP_EXHAUSTION, NAS SHORT, supply 0.55 overhead — strict no-long; mild short bias on exhaustion but powerful bull trend makes it counter-trend, so SKIP-long with SHORT lean."
6471,,SKIP,SHORT,76,late_top,0.05,SCRATCH,"Extreme overbought blow-off (rsi 81, legpos 92, F_STRICT TOP_EXHAUSTION, NAS SHORT) — clear no-long. SHORT only on exhaustion lean but trend_90 13.66 is a violent uptrend, so not a clean short; SKIP-long."
6489,,REVIEW,LONG,52,bull_pullback,-1.1,STOP_LOSS,"Pullback to defended demand with tight V_REVERSAL SL and bullish CHoCH in a strong uptrend, but legpos90 83.7 high, NAS SHORT and overhead supply temper it — borderline bull_pullback worth human eyes."
6523,,SKIP,NONE,80,late_top,1.17,SCRATCH,"F_STRICT TOP_EXHAUSTION with rsi 77, legpos 91, rise20 5.44 and a 5.53 ATR wide SL with demand miles away during a dead hour — pure late-top entry, anti-edge, no short trigger either."
6597,,SKIP,NONE,83,late_top,-1.1,STOP_LOSS,"Extreme blow-off: legpos 95.5, rsi 76, F_STRICT TOP_EXHAUSTION, fresh BOS 0-bars (chasing the breakout high) — the exact late-chasing pattern the edge avoids."
6610,,SKIP,NONE,68,bull_pullback,-1.1,STOP_LOSS,"Pullback but legpos90 95.7 is at the very top of an extended leg (rsi_1d 74) — buying a shallow dip at the apex of a blow-off; risk-reward poor, demand not colado. Closer to losers."
6711,,REVIEW,LONG,47,bull_pullback,1.78,WIN_HELD,"Mid legpos and bull-div are mildly constructive but demand 3.26 ATR away, wide NORMAL SL 3.36 and supply blocking 2ATR with d1_supply 1.56 overhead — no crisp reclaim and target capped; ambiguous."
6729,,REVIEW,LONG,50,demand_reclaim,1.69,WIN_HELD,"Demand reclaim with tight V_REVERSAL SL and low-mid legpos is attractive, but d1_supply 0.06 ATR sits right overhead and supply blocks 2ATR — the 2R target is capped, so human judgment on whether the supply will yield."
6741,,REVIEW,LONG,49,bull_pullback,0.9,WIN_BE,"Sharp RSI flush (22.9 drop) with strong buy-bubble cluster and bullish CHoCH is constructive, but demand 2.71 ATR away with NORMAL SL and supply blocking the 2ATR target — mixed, defer."
6767,,SKIP,NONE,79,late_top,-1.1,STOP_LOSS,"F_STRICT TOP_EXHAUSTION with legpos 94.3, rsi 72.7, 6 consecutive up bars and fresh BOS into supply 0.64 overhead during dead hour — chasing the top, anti-edge."
6791,,TAKE,LONG,68,bottom_reversal,1.91,WIN_HELD,"Classic capitulation bottom: rsi 25.5, drop20 6.87, legpos at 1.3 (very bottom), below_VAL, demand colado (0.7-1.41 ATR) with tight V_REVERSAL SL 1.51 and a clean 5.93 ATR runway above with no supply blocking the 2R target. Strong convergence to bottom-reversal winners."
6819,,SKIP,NONE,60,unclear,-1.1,STOP_LOSS,"Oversold and low legpos but d1_supply 0.18 ATR right overhead with supply blocking both 2 and 3ATR, demand 3.49 ATR away, wide NORMAL SL and no absorption — target structurally capped, no convergence."
6832,,REVIEW,LONG,46,demand_reclaim,-1.1,STOP_LOSS,"Low legpos with d1_demand colado and a clear 5.59 ATR runway above is attractive, but 4h demand is 3.24 ATR away with a wide NORMAL SL and 3 large sell bubbles signal distribution not absorption — mixed, human review."
6844,,REVIEW,LONG,44,demand_reclaim,-1.1,STOP_LOSS,"d1_demand colado and clear overhead favor a reclaim long, but 4h demand 2.95 ATR away, wide NORMAL SL, neutral RSI and zero absorption bubbles mean no crisp trigger — modest at best, defer to human."
6887,,REVIEW,LONG,42,demand_reclaim,-1.1,STOP_LOSS,"CHoCH+buy-bubble absorption with non-toxic flat trend, but 4h demand is 2.9ATR away and reclaim body is negative — partial convergence, no clean entry-low; human review only"
6908,,SKIP,NONE,30,unclear,-1.1,STOP_LOSS,"No 4h demand backing, LATE_WIDE stop, negative reclaim body, near-zero confluence — structurally weak, skip"
6923,,REVIEW,LONG,50,demand_reclaim,-1.1,STOP_LOSS,"Clean V_REVERSAL_DEMAND with tight SL and bullish reclaim colado to demand, but supply overhead blocks the 2ATR target and rejected before — edge present but capped target downgrades to review"
6954,,REVIEW,LONG,48,bull_pullback,3.9,WIN_RUNNER,"Healthy uptrend pullback with strong buy-bubble cluster and tight demand SL, but legpos30 88 and zero drop20 means entering high, not low — modest bull_pullback, human judgment on entry timing"
6962,,SKIP,NONE,35,bull_pullback,3.16,WIN_HELD,"legpos30 97.7 with supply only 0.97ATR overhead blocking the target — entering at top of leg into immediate resistance, classic anti-pattern, skip"
6977,,SKIP,NONE,78,late_top,-1.1,STOP_LOSS,"Textbook late_top / blow-off: rsi 76, legpos90 98, rise20 7.24, F_STRICT TOP_EXHAUSTION — never long here; SHORT-mirror candidate but no broken structure yet, so skip long"
6992,,REVIEW,LONG,46,bull_pullback,1.78,WIN_HELD,"Reasonable bull_pullback to demand with bullish reclaim and tight SL, but supply 1.29ATR overhead blocks the 2ATR target — capped upside, human review"
7022,,SKIP,NONE,80,late_top,-1.1,STOP_LOSS,"Blow-off top: rsi_1d 75, legpos90 96, F_STRICT TOP_EXHAUSTION, NAS SHORT, RSI rolling over 12.7pts — strong SHORT-mirror late_top signal but long is forbidden; skip long"
7053,,REVIEW,LONG,40,demand_reclaim,-1.1,STOP_LOSS,"Pullback in larger uptrend with oversold dip and bullish reclaim, but zero absorption bubbles, no structure confirmation and sharp trend_30 break — mixed, human review only"
7065,,TAKE,LONG,64,bottom_reversal,0.9,WIN_BE,"Bottom_reversal convergence: deep oversold (rsi8 27), capitulation drop20 2.6, legpos low 24, NAS LONG, tight V_REVERSAL_DEMAND colado, bullish reclaim — SELL bubbles read as capitulation/absorption at the low (Auction Theory), entering low not high"
7094,,SKIP,NONE,68,late_top,-1.1,STOP_LOSS,"Late_top: legpos 95+, rsi 70, rise20 5, supply 0.39ATR overhead, LATE_WIDE stop, NAS SHORT — entering top into immediate resistance with wide risk, skip long"
7119,,REVIEW,LONG,47,demand_reclaim,1.91,WIN_HELD,"CHoCH + strong bullish reclaim body 1.24 at mid legpos with clear path to 2ATR target, but absorption is thin (1 bubble) and demand not colado — moderate convergence, human review"
7129,,TAKE,LONG,61,demand_reclaim,0.9,WIN_BE,"Strong demand_reclaim convergence: V_REVERSAL_DEMAND colado, CHoCH bullish, 9 buy bubbles (5 large) strong absorption, bullish reclaim, healthy uptrend, 2ATR target clear — multi-factor confluence matches winners"
7149,,REVIEW,LONG,44,bottom_reversal,3.9,WIN_RUNNER,"Falling-knife dip to demand with very tight SL and CHoCH, but bear-div present, negative reclaim body and supply blocking target — conflicting (A7 bear-div is a known loser flag), human review only"
7232,,REVIEW,LONG,41,bottom_reversal,3.9,WIN_RUNNER,"Deep capitulation at low legpos (oversold ingredients present) but NO turn yet — reclaim_body -1.12, fresh bearish BOS, no buy absorption, no bullish CHoCH; catching falling knife without confirmation, human review"
7253,,REVIEW,LONG,45,demand_reclaim,3.61,WIN_HELD,"Clean V_REVERSAL_DEMAND colado with bullish reclaim at mid legpos, but supply only 0.86ATR overhead blocks the 2ATR target and zero absorption confirmation — capped target, human review"
7408,,SKIP,NONE,55,bull_pullback,1.58,SCRATCH,"legpos30 92 with demand 4.9ATR away and a 5ATR-wide stop — entering top of leg with poorly-formed wide risk and no demand backing, skip"
7426,,SKIP,NONE,82,late_top,0.37,SCRATCH,"Textbook late_top blow-off: rsi 77, legpos90 96, rise20 6.24, F_STRICT TOP_EXHAUSTION, NAS SHORT, climax large-buy bubbles — never long; SHORT-mirror candidate, skip long"
7454,,REVIEW,LONG,52,demand_reclaim,0.9,WIN_BE,"Pullback colado to demand (0.02ATR) with very tight SL and strong buy-bubble absorption in an uptrend, but reclaim_body still negative (no confirmed turn) and supply 0.75ATR caps the target — promising but unconfirmed, human review"
7509,,TAKE,LONG,63,bottom_reversal,-1.1,STOP_LOSS,"Bottom_reversal convergence: deep oversold rsi 31/rsi8 25, falling-knife sweet-spot, legpos low 33, NAS LONG, strong bullish reclaim 1.14 turning after washout, demand touched — SELL bubbles as exhaustion at the low (Auction Theory), entering low after the flush"
7549,,TAKE,LONG,70,bottom_reversal,1.5,WIN_HELD,"Bottom-reversal convergence: deeply negative trend_90, low legpos, fresh bullish CHoCH at a defended demand origin with SELL-bubble absorption and a tight V_REVERSAL SL — winner signature; only caution is near supply overhead capping 2ATR."
7569,,SKIP,NONE,80,late_top,-1.1,STOP_LOSS,"Mid/late-leg chase into overbought after a 6ATR rise; demand far and SL wide — entering high, not low. Anti-edge."
7577,,SKIP,NONE,88,late_top,-1.1,STOP_LOSS,"Classic late-top blow-off: high legpos, overbought, LATE_WIDE 7ATR SL with demand 7ATR away — exactly the loser footprint, never enter long here."
7662,,REVIEW,LONG,45,demand_reclaim,-1.1,STOP_LOSS,"Tight SL and mid legpos are encouraging but the 4h demand is 4.8ATR away and d1 supply is glued overhead capping the 2ATR target — convergence partial, human eyes warranted."
7710,,REVIEW,LONG,40,bottom_reversal,1.21,SCRATCH,"Low legpos and a bullish CHoCH point to a reversal context, but demand is 4ATR away, SL is wide, volume is holiday-thin and there is no absorption — weak/partial convergence."
7731,,REVIEW,LONG,52,demand_reclaim,2.05,WIN_HELD,"Bullish reclaim body with fresh CHoCH at low legpos over glued d1 demand is a real reclaim signature, but 4h supply 1.8ATR overhead caps the 2ATR target and SL is moderate — promising but needs review."
7765,,SKIP,NONE,82,late_top,1.44,SCRATCH,"Entering at legpos90 97 on a fresh BOS chase with demand 4.6ATR away and a 4.75ATR SL — buying the top, anti-edge."
7797,,SKIP,NONE,92,late_top,1.31,SCRATCH,"F_STRICT TOP_EXHAUSTION with legpos 92, RSI 73 and blow-off — textbook should-not-long top."
7816,,SKIP,NONE,93,late_top,1.62,SCRATCH,legpos90 99 with F_STRICT TOP_EXHAUSTION — the single highest-risk long context; refuse.
7838,,REVIEW,LONG,48,demand_reclaim,-1.1,STOP_LOSS,"Tight V_REVERSAL SL at glued defended demand with a falling-knife flush is winner-like, but high legpos, glued d1 supply overhead and a NAS SHORT signal conflict — genuine human-judgment case."
7869,,SKIP,NONE,80,late_top,0.89,SCRATCH,"High legpos overbought continuation chase with far demand and wide SL — buying strength near the top, anti-edge."
7902,,SKIP,NONE,90,late_top,0.17,SCRATCH,"TOP_EXHAUSTION with rsi_1d 78.5 — daily overbought blow-off, refuse long."
7924,,TAKE,LONG,66,demand_reclaim,3.9,WIN_BE,"Deep oversold pullback to a glued, defended demand origin with an exceptionally tight 0.30ATR V_REVERSAL SL and supply 3ATR overhead leaving room — strong demand-reclaim risk/reward, winner-like."
7933,,SKIP,NONE,60,late_top,-1.1,STOP_LOSS,"High legpos with d1 supply glued directly overhead capping any 2ATR target and demand not close — no path to target, skip."
7943,,SKIP,NONE,80,late_top,-1.1,STOP_LOSS,"legpos90 97 BOS chase with demand 4ATR away and wide SL — entering at the top of an extended leg, anti-edge."
7993,,REVIEW,LONG,47,demand_reclaim,1.16,SCRATCH,"Strong bullish reclaim candle in a flat regime is appealing, but demand is 4.6ATR away with a wide SL and supply glued overhead capping the target — risk poorly formed, defer to human."
8080,,SKIP,NONE,78,unclear,3.9,WIN_RUNNER,"No 4h demand structure to anchor the entry, LATE_WIDE risk in a dead hour with no trigger — no convergence, skip."
8095,,REVIEW,LONG,50,bull_pullback,0.9,WIN_BE,"Healthy-uptrend pullback to a defended demand origin with clear room above (no supply) is a valid bull_pullback, but legpos90 90 after 5 up-bars argues it is late — borderline, human review."
8111,,SKIP,NONE,93,late_top,-1.1,STOP_LOSS,"RSI 81, legpos 99, F_STRICT TOP_EXHAUSTION, 7ATR SL — the most extreme top in the batch, absolute refuse."
8133,,TAKE,LONG,68,bottom_reversal,-1.1,STOP_LOSS,"Capitulation bottom: deep oversold 5-bar flush into glued defended demand with a tight 0.85ATR V_REVERSAL SL, bullish CHoCH and below-VAL washout — the monumental-bottom signature; vol spike is the only real caution."
8149,,REVIEW,LONG,52,bottom_reversal,2.48,WIN_HELD,"Oversold-recovery with fresh NAS LONG and glued D1 demand (0.22ATR), but 4H demand is far and SL is 2.86ATR with overhead supply at 2.37ATR capping a 2ATR target — convergence partial, demand-backing weak. Human review."
8157,,SKIP,NONE,80,late_top,0.57,SCRATCH,"Classic chase-the-blow-off: legpos90 94, rise20 5.49ATR with zero pullback, price 3.41ATR above SMA20, LATE_WIDE SL 5.59ATR. No demand backing, entering at the top. Mirror of LOSER late-entry signature."
8200,,SKIP,NONE,72,late_top,-1.1,STOP_LOSS,"This is the top of a parabolic move (rsi_1d 82, rsi_max8 88) just rolling over with bearish BOS and NAS SHORT — not a bottom. No 4H demand to lean on. LONG here is buying a euphoric top; not a clean SHORT setup either (still mid-structure). Skip long."
8216,,TAKE,LONG,74,bottom_reversal,0.9,WIN_BE,"Textbook V_REVERSAL_DEMAND winner signature: glued 4H demand (0.51ATR), reclaim right at demand (0.04ATR), tight 0.61ATR SL, CHoCH bullish, capitulation drop20 5.15ATR with low legpos30. Supply at 1.59ATR is the only caveat. Matches E30/E40."
8236,,SKIP,NONE,60,unclear,-1.1,STOP_LOSS,"No convergence: demand untouched and far (3.55ATR), reclaim body negative, supply caps target at 1.69ATR, zero absorption signals, thin dead-hour volume. Tight SL alone isn't an edge. No setup."
8277,,SKIP,NONE,58,unclear,-1.1,STOP_LOSS,"Mid-range chop: demand far and untouched, weak reclaim 2.6ATR away, supply caps target at 1.36ATR, no absorption or momentum signals. Neither bottom-reversal nor clean pullback. Skip."
8338,,SKIP,NONE,75,late_top,-1.1,STOP_LOSS,Extreme leg top (legpos30 96.8) into D1 supply 0.43ATR with fresh bearish BOS — entering long at exhaustion against overhead. Demand far and untouched. Mirror of late-top LOSER signature; not a clean short either (thin dead-hour).
8357,,REVIEW,LONG,55,bottom_reversal,1.78,WIN_HELD,"Genuine falling-knife capitulation (sweet_spot=true, drop20 4.28ATR, rsi 35, range climax, SELL-bubble) but no turn yet — reclaim body -0.99, demand untouched, no CHoCH confirmation, macro bearish. Premature; human review for the catch."
8371,,SKIP,NONE,68,bull_pullback,0.51,SCRATCH,"Extended top of leg (legpos90 92.9, consec_up 5) into D1 supply 0.68ATR with no 4H demand to anchor and LATE_WIDE 4.64ATR SL. Chasing — not a clean pullback entry. Skip."
8403,,REVIEW,LONG,50,demand_reclaim,0.66,SCRATCH,"Fresh bullish CHoCH with bullish reclaim body and near D1 demand, but 3 LARGE SELL bubbles in 10 bars signal distribution pressure overhead and 4H demand is far (2.89ATR). Conflicting — bubbles polarity argues caution. Human review."
8431,,SKIP,NONE,70,late_top,-1.1,STOP_LOSS,"High leg with fresh BEARISH CHoCH, NAS SHORT, negative reclaim body and rolling RSI into D1 supply 0.89ATR. Structure is turning down, not a long. Demand far, wide SL. Skip long."
8460,,SKIP,NONE,66,bear_bounce,-1.1,STOP_LOSS,"5 LARGE SELL bubbles + supply capping target at 1.02ATR + 4H demand 5.96ATR away (untouched) = bounce in a distributive structure with no room to 2ATR target. Despite near D1 demand, overhead blocks the trade. Skip."
8479,,REVIEW,LONG,58,demand_reclaim,-1.1,STOP_LOSS,"V_REVERSAL_DEMAND with glued D1 demand (0.1ATR), reclaim near demand (0.63ATR) and tight 1.73ATR SL — winner-shaped. But 5 LARGE SELL bubbles and supply capping target at 1.65ATR conflict. Demand-backing good; overhead risk warrants human review."
8497,,SKIP,NONE,68,bull_pullback,-0.09,SCRATCH,"Extended top of leg (legpos30 95.7, consec_up 5) with 6 LARGE SELL bubbles and sell-dominant ratio 0.2 into supply capping target at 1.14ATR, wide 4.81ATR SL. Distribution + chase. Skip."
