episode_id,bar_idx,batch,decision,direction,confidence,setup_type,n_pos,n_neg,decisive_reason,closest_known,ment_supply_dist,ment_supply_flag,ment_capit,ment_top,ment_demand,ment_sl,ment_macro,ment_drift
,4401,05,REVIEW,LONG,50,demand_reclaim,6,7,"Strong reclaim body and recent oversold, but pressed directly under stacked d1+4H supply (0.11/0.27ATR) with bear-div present — target structurally blocked. Con",E27|E24,1,0,1,0,1,1,0,0
,4429,05,SKIP,NONE,92,late_top,1,8,"Textbook TOP_EXHAUSTION: F_STRICT true, legpos 98.7, rsi 81, parabolic 6.75ATR rise, bear-div + NAS SHORT at supply. Never long this — short-side late_top, but ",E24|E15|E23,1,0,0,1,0,1,1,0
,4483,05,SKIP,NONE,66,unclear,2,9,"High legpos pullback with demand 5+ATR away and LATE_WIDE SL — no nearby backing, no convergence signal. Not a reclaim. Skip.",E39|E23,0,0,0,1,1,1,1,0
,4513,05,SKIP,NONE,70,late_top,2,7,"High-legpos extended uptrend pressed under 0.41ATR supply with far demand and wide SL — late continuation into resistance, not a low-entry reclaim. Skip.",E39|E24,1,0,0,1,1,1,1,0
,4530,05,REVIEW,LONG,51,bull_pullback,7,6,Sharp pullback into d1 demand with clear upside runway (rare: supply not blocking) and below-VAL — but bearish CHoCH/NAS SHORT and rsi_1d 73.5 conflict. Genuine,E27|E39,1,1,1,1,1,1,1,0
,4574,05,REVIEW,LONG,54,demand_reclaim,7,6,Tight V_REVERSAL demand reclaim colada in an uptrend pullback (winner-ish shape) but weak doji body and mid-high legpos with supply ~2ATR — partial convergence.,E27|E40,1,0,1,0,1,1,1,0
,4609,05,REVIEW,LONG,53,bull_pullback,8,6,"Sharp pullback with buy-bubble absorption (ratio 5) and low legpos at POC — bull_pullback edge candidate, but bearish CHoCH and d1 supply 0.3ATR overhead confli",E27|E1,1,0,1,0,1,1,1,0
,4644,06,SKIP,NONE,70,bull_pullback,4,5,"High in leg (legpos90 86) with d1 supply 0.58 ATR + 4h supply blocking 2ATR target; demand too far (2.67) to back entry. Buying into overhead near top of leg, n",E23|E24,1,1,0,1,1,0,1,0
,4677,06,SKIP,NONE,82,late_top,2,6,"Textbook late/extended: legpos90 98.2, trend_90 11.58, rise20 6.27 parabolic. Buying the absolute top of a blow-off leg. Classic LOSER signature.",E23|E15,1,0,0,1,1,0,1,0
,4763,06,REVIEW,LONG,50,demand_reclaim,4,4,"Fresh bullish CHoCH + rsi reset off oversold near sma50, but demand far (3.02) and supply 1.21 ATR blocks the 2ATR target. Partial convergence; demand not backi",E34|E17,1,1,1,1,1,1,1,0
,4899,06,SKIP,NONE,68,late_top,3,6,Extended short-term leg (legpos30/60 ~98) into d1 supply 0.95 ATR with negative trend_90; rise20 5.7 already run. Buying near local top without demand backing.,E24|E23,1,0,0,1,1,0,1,0
,4908,06,REVIEW,LONG,42,demand_reclaim,4,6,"Mild value dip below VAL with small buy bubbles but no bullish reclaim body and demand far; falling 2 bars without confirmation. Weak convergence, defer to huma",E15|E34,0,0,1,0,1,0,1,0
,4918,06,TAKE,LONG,72,bottom_reversal,10,3,"Strong bottom_reversal convergence: capitulation (drop20 4.81, rsi 31), low legpos, fresh bullish CHoCH, strong reclaim body +0.88 off colada demand, NAS LONG, ",E40|E30|E1,1,0,1,1,1,0,1,0
,4926,06,REVIEW,LONG,45,demand_reclaim,4,6,D1 demand right at price but negative reclaim body and 4h supply 1.61 blocks the target; no bullish confirmation candle. Mixed — colada d1 demand vs blocked tar,E34|E39,1,1,1,0,1,0,1,0
,4964,06,SKIP,NONE,90,late_top,1,8,"F_STRICT TOP_EXHAUSTION with legpos90 98.6, RSI 72 overbought, rise20 6.23 blow-off, SL 7.05 wide, dead hour. Unambiguous late-top LOSER signature. Hard skip.",E23|E24|E15,1,0,0,1,1,1,1,0
,4996,06,TAKE,LONG,70,bottom_reversal,8,5,"V_REVERSAL_DEMAND with tight 1.27 SL on colada demand after 7-bar capitulation, climax volume 4.16, below VAL, sweet-spot knife. Tight risk + capitulation washo",E27|E1|E40,0,0,1,1,1,1,1,0
,5016,06,SKIP,NONE,65,bull_pullback,3,7,"Strong macro uptrend but d1 supply 0.13 ATR immediately overhead and 4h supply blocks 2ATR target; high legpos, flat reclaim, no absorption. Target capped by su",E24|E23,1,1,0,0,1,0,1,0
,5042,06,SKIP,NONE,88,late_top,3,7,"F_STRICT TOP_EXHAUSTION, RSI 70.5, rise20 6.23 blow-off, no 4h demand to back entry, wide 6.73 SL, dead hour. Late-top LOSER signature even with large buy bubbl",E15|E23|E24,0,0,0,1,1,1,1,0
,5055,06,REVIEW,LONG,40,bull_pullback,4,6,"Pullback in mild uptrend with rsi reset, but 4h supply 1.63 blocks 2ATR target and no confirmation/absorption; demand not colada. Marginal — defer to human.",E34|E39,1,1,0,0,1,1,1,0
,5087,06,TAKE,LONG,68,demand_reclaim,7,4,"V_REVERSAL_DEMAND tight 1.06 SL on colada demand (0.12 reclaim dist), bullish reclaim body, mid legpos, after pullback. Winner-shaped risk profile. Caveat: 4h s",E1|E17|E27,1,1,1,0,1,1,1,0
,5103,06,TAKE,LONG,64,bottom_reversal,9,4,"V_REVERSAL_DEMAND tight 1.62 SL with d1 demand colada 0.37, low legpos, falling-knife into value (below VAL) with small buy-bubble absorption and prior bullish ",E27|E40|E1,1,1,1,0,1,1,1,0
,5147,06,SKIP,NONE,58,bull_pullback,4,5,Strong +2.3 reclaim candle but it's a 3.53x range expansion CHASE high in the short leg (legpos 84) into d1 supply 0.36 ATR overhead; demand far. Buying an outs,E24|E23,1,0,0,0,1,0,1,0
,5165,06,REVIEW,LONG,48,bottom_reversal,6,6,"Sharp rsi washout (34 drop) with buy-bubble absorption and bullish reclaim, but demand not touched/colada, d1 supply 0.24 ATR right overhead caps it, and the mo",E15|E34,1,1,1,0,1,1,1,0
,5296,06,REVIEW,LONG,43,demand_reclaim,5,6,"Low legpos value dip below VAL but negative reclaim, macro trend_90 -5.79 down, SELL pressure and d1 supply 0.08 ATR immediately overhead. Weak convergence with",E39|E34,1,1,0,0,1,0,1,0
,5321,06,SKIP,NONE,60,bear_bounce,3,7,"Bearish RSI divergence (A7 flag) + below sma50 in negative trend, with 4h supply 0.84 ATR right overhead blocking target and no absorption. The A7 anti-bear-div",E39|E34,1,1,0,0,1,1,1,0
,5331,06,REVIEW,LONG,46,demand_reclaim,5,6,"Tight V_REVERSAL SL on colada demand with bullish reclaim and low legpos, but a fresh BEARISH BOS 3 bars ago plus 4h supply 1.17 overhead and SELL bubbles confl",E27|E39,1,1,1,0,1,1,1,0
,5350,06,REVIEW,LONG,44,demand_reclaim,4,7,"Bullish CHoCH flipping prior bearish BOS below VAL is constructive, but demand far (3.3), wide 3.4 SL, and d1 supply 0.19 ATR right overhead. Risk poorly formed",E34|E39,1,1,0,0,1,1,1,0
,5414,07,SKIP,NONE,58,unclear,4,5,"Supply at 0.68ATR caps the 2ATR target and demand is 2+ATR away with no absorption/CHoCH trigger — no convergence for LONG, overhead blocks reward.",E23|E15,1,1,0,1,1,0,1,0
,5435,07,REVIEW,LONG,48,demand_reclaim,5,4,"Bullish BOS + clear 2ATR path + d1 demand colada argue LONG, but 4h demand is far and entry is 4 up-bars into the move — partial convergence, human edge useful.",E17|E1,1,0,0,0,1,0,1,0
,5478,07,SKIP,NONE,82,late_top,0,6,"Textbook late_top: legpos90 ~94, RSI>70, 6 consecutive up bars, F_STRICT TOP_EXHAUSTION — buying here is buying the top, exactly the loser signature.",E24|E34,0,0,0,1,0,0,1,0
,5530,07,SKIP,NONE,66,unclear,3,4,Supply at 0.27ATR sits on top blocking the entire 2ATR target and price is high in the leg (legpos90 78) — reward capped despite the reclaim; no room.,E15|E23,1,1,0,1,1,0,1,0
,5555,07,SKIP,NONE,62,bear_bounce,2,5,"Below SMA50 with supply 0.62ATR overhead and demand 4ATR away; the heavy SELL bubbles here are distribution into a weak bounce, not a defended bottom — bear_bou",E39|E15,1,1,0,0,1,0,1,0
,5627,07,REVIEW,LONG,52,bottom_reversal,5,4,"Genuine capitulation+CHoCH+NAS-long bottom signature, but 4h demand is 12ATR away and supply 0.85ATR overhead caps target — turn is real but the location/reward",E30|E40,1,1,1,1,1,1,1,0
,5668,07,SKIP,NONE,80,late_top,0,5,"Blow-off top: legpos90 ~92, RSI70, +5ATR rise, TOP_EXHAUSTION, no demand backstop and wide SL — pure loser zone.",E24|E34,0,0,0,1,1,1,1,0
,5701,07,TAKE,LONG,63,demand_reclaim,7,2,"Demand reclaim at 0.7ATR with strong bullish reclaim body, bullish CHoCH and SELL-bubble absorption at the pullback low in an uptrend, clear path to target — mu",E1|E27,1,0,0,0,1,1,1,0
,5724,07,REVIEW,LONG,42,bottom_reversal,3,5,"Deeply oversold with d1 demand colada and tiny SL, but zero reversal confirmation (no bullish CHoCH, negative reclaim, heavy active selling) — falling with no t",E30|E23,0,0,1,0,1,1,1,0
,5772,07,REVIEW,LONG,40,bottom_reversal,5,5,"Oversold near d1 demand with tight SL, but dead volume, no absorption and no bullish confirmation — capitulation without evidence of a turn; not a TAKE.",E30|E15,0,0,1,0,1,1,1,0
,5826,07,TAKE,LONG,68,bottom_reversal,7,3,"Extreme macro oversold (rsi_1d 19), deep legpos, demand colada with SELL-bubble capitulation absorption and a fully clear 5.9ATR path upward — strong bottom_rev",E30|E40,1,0,1,0,1,1,1,0
,5842,07,SKIP,NONE,72,late_top,1,4,"Vertical +7.6ATR rally into supply at 0.18ATR with RSI71 — overbought, overextended and capped; chasing a blow-off into a wall.",E34|E24,1,1,0,1,0,0,1,0
,5866,07,SKIP,NONE,83,late_top,0,5,"At d1 supply (0.0ATR) with legpos90 ~97, RSI71, TOP_EXHAUSTION and euphoric buying — definitive top, loser signature.",E24|E34,1,0,0,1,0,0,1,0
,5875,07,SKIP,NONE,78,late_top,1,5,"High in the leg (legpos90 90) at d1 supply 0.36ATR with a fresh bearish CHoCH and RSI rolling over — top exhaustion, no LONG.",E34|E24,1,0,0,1,1,0,1,0
,5920,07,SKIP,NONE,68,late_top,2,4,"Very high in a hot uptrend (legpos90 93, rsi_1d 74) with supply at 0.32ATR capping target — no reward room, top-chasing despite the strong trend.",E24|E15,1,1,0,1,1,1,1,0
,5955,07,TAKE,LONG,74,bottom_reversal,7,2,"V_REVERSAL_DEMAND with oversold falling-knife (RSI31, 6 down bars), fresh bullish CHoCH, SELL-bubble absorption and a clear 4.5ATR path — the highest-conviction",E40|E30,1,0,1,0,1,1,1,0
,5998,07,REVIEW,LONG,50,demand_reclaim,5,4,"Clean bullish CHoCH + strong reclaim body in non-toxic flat regime, but demand is ~2.8ATR away and reclaim is far from the zone — partial convergence, human edg",E1|E17,1,1,0,0,1,0,1,0
,6049,07,SKIP,NONE,84,late_top,0,5,"RSI 83 with legpos90 ~94 and TOP_EXHAUSTION — extreme blow-off top, the clearest SKIP in the batch.",E24|E34,0,0,0,1,0,0,1,0
,6069,07,REVIEW,LONG,47,bull_pullback,4,5,"Demand-colada V_REVERSAL with tiny SL is winner-like, but pulling back from rsi_1d 79 with a bearish CHoCH, negative reclaim and d1 supply 0.08ATR overhead — bu",E1|E23,1,0,1,1,1,1,1,0
,6119,07,SKIP,NONE,56,unclear,3,4,Entry is 5ATR from demand with a LATE_WIDE 5.36ATR swing stop — ill-formed risk detached from the zone; the lone bull-div doesn't justify it.,E39|E15,1,0,0,1,1,1,1,0
,6162,08,SKIP,NONE,82,late_top,2,5,"legpos90 94.6 at top of leg with rise20 4.01 and LATE_WIDE SL 4.56 and no 4h demand to lean on — classic anti-edge top/late entry, no bottom-reversal convergenc",E23|E24,0,0,0,1,1,1,1,0
,6193,08,REVIEW,LONG,58,demand_reclaim,8,4,"Oversold reclaim with V_REVERSAL_DEMAND tight SL, bullish CHoCH and NAS LONG argue for a long, but d1_supply 0.22 ATR directly overhead plus 3ATR supply block t",E17|E1|E23,1,1,1,0,1,1,1,0
,6210,08,TAKE,LONG,71,bottom_reversal,8,2,Textbook bottom reversal: deep oversold + low legpos + demand colado defended (0.98 ATR) + tight V_REVERSAL_DEMAND SL 1.08 + bull-div + NAS LONG + SELL-bubble a,E17|E1|E40,1,1,1,1,1,1,1,0
,6295,08,REVIEW,LONG,48,bull_pullback,5,5,"Neutral RSI, mid legpos, 4h demand 2.91 ATR away and NORMAL wide SL — no oversold/reversal trigger nor crisp demand reclaim. Only d1_demand colado supports; amb",E15|E27,1,0,1,0,1,1,1,0
,6362,08,REVIEW,LONG,42,unclear,3,5,"Low legpos but RSI already recovered to 46 (no live oversold), demand 2.35 ATR away and supply blocking both 2/3ATR with d1_supply 0.67 overhead — overhead caps",E15|E34,1,1,1,0,1,0,1,0
,6376,08,REVIEW,LONG,45,bottom_reversal,5,5,"Capitulation signature (low legpos, deep rsi_min8) and d1_demand colado favor reversal, but bearish BOS+CHoCH structure with 7 large sell bubbles and 4h demand ",E39|E17,1,1,1,0,1,0,1,0
,6453,08,SKIP,SHORT,78,late_top,8,1,"Blow-off top: RSI 82, legpos 91, F_STRICT TOP_EXHAUSTION, NAS SHORT, supply 0.55 overhead — strict no-long; mild short bias on exhaustion but powerful bull tren",E23|E24,0,0,0,1,0,0,1,0
,6471,08,SKIP,SHORT,76,late_top,5,2,"Extreme overbought blow-off (rsi 81, legpos 92, F_STRICT TOP_EXHAUSTION, NAS SHORT) — clear no-long. SHORT only on exhaustion lean but trend_90 13.66 is a viole",E24|E23,0,0,0,1,0,0,1,0
,6489,08,REVIEW,LONG,52,bull_pullback,5,5,"Pullback to defended demand with tight V_REVERSAL SL and bullish CHoCH in a strong uptrend, but legpos90 83.7 high, NAS SHORT and overhead supply temper it — bo",E30|E27|E34,1,1,0,1,1,1,1,0
,6523,08,SKIP,NONE,80,late_top,2,7,"F_STRICT TOP_EXHAUSTION with rsi 77, legpos 91, rise20 5.44 and a 5.53 ATR wide SL with demand miles away during a dead hour — pure late-top entry, anti-edge, n",E23|E24,0,0,0,1,1,1,1,0
,6597,08,SKIP,NONE,83,late_top,2,6,"Extreme blow-off: legpos 95.5, rsi 76, F_STRICT TOP_EXHAUSTION, fresh BOS 0-bars (chasing the breakout high) — the exact late-chasing pattern the edge avoids.",E24|E23,0,0,0,1,0,0,1,0
,6610,08,SKIP,NONE,68,bull_pullback,4,4,"Pullback but legpos90 95.7 is at the very top of an extended leg (rsi_1d 74) — buying a shallow dip at the apex of a blow-off; risk-reward poor, demand not cola",E34|E23,0,0,0,1,1,1,1,0
,6711,08,REVIEW,LONG,47,bull_pullback,4,5,"Mid legpos and bull-div are mildly constructive but demand 3.26 ATR away, wide NORMAL SL 3.36 and supply blocking 2ATR with d1_supply 1.56 overhead — no crisp r",E15|E27,1,1,0,1,1,1,1,0
,6729,08,REVIEW,LONG,50,demand_reclaim,5,5,"Demand reclaim with tight V_REVERSAL SL and low-mid legpos is attractive, but d1_supply 0.06 ATR sits right overhead and supply blocks 2ATR — the 2R target is c",E27|E30|E34,1,1,0,0,1,1,1,0
,6741,08,REVIEW,LONG,49,bull_pullback,5,4,"Sharp RSI flush (22.9 drop) with strong buy-bubble cluster and bullish CHoCH is constructive, but demand 2.71 ATR away with NORMAL SL and supply blocking the 2A",E27|E15,1,1,1,0,1,1,1,0
,6767,08,SKIP,NONE,79,late_top,2,7,"F_STRICT TOP_EXHAUSTION with legpos 94.3, rsi 72.7, 6 consecutive up bars and fresh BOS into supply 0.64 overhead during dead hour — chasing the top, anti-edge.",E23|E24,0,0,0,1,0,0,1,0
,6791,08,TAKE,LONG,68,bottom_reversal,8,3,"Classic capitulation bottom: rsi 25.5, drop20 6.87, legpos at 1.3 (very bottom), below_VAL, demand colado (0.7-1.41 ATR) with tight V_REVERSAL SL 1.51 and a cle",E17|E40|E1,1,0,1,0,1,1,1,0
,6819,08,SKIP,NONE,60,unclear,2,7,"Oversold and low legpos but d1_supply 0.18 ATR right overhead with supply blocking both 2 and 3ATR, demand 3.49 ATR away, wide NORMAL SL and no absorption — tar",E34|E15,1,1,1,0,1,1,1,0
,6832,08,REVIEW,LONG,46,demand_reclaim,5,5,"Low legpos with d1_demand colado and a clear 5.59 ATR runway above is attractive, but 4h demand is 3.24 ATR away with a wide NORMAL SL and 3 large sell bubbles ",E27|E15,1,0,0,0,1,1,1,0
,6844,08,REVIEW,LONG,44,demand_reclaim,5,5,"d1_demand colado and clear overhead favor a reclaim long, but 4h demand 2.95 ATR away, wide NORMAL SL, neutral RSI and zero absorption bubbles mean no crisp tri",E27|E15,1,0,0,0,1,1,1,0
,6887,09,REVIEW,LONG,42,demand_reclaim,6,6,"CHoCH+buy-bubble absorption with non-toxic flat trend, but 4h demand is 2.9ATR away and reclaim body is negative — partial convergence, no clean entry-low; huma",E27|E40,1,0,1,0,1,0,1,0
,6908,09,SKIP,NONE,30,unclear,2,7,"No 4h demand backing, LATE_WIDE stop, negative reclaim body, near-zero confluence — structurally weak, skip",E39|E15,0,0,0,1,1,1,1,0
,6923,09,REVIEW,LONG,50,demand_reclaim,8,5,"Clean V_REVERSAL_DEMAND with tight SL and bullish reclaim colado to demand, but supply overhead blocks the 2ATR target and rejected before — edge present but ca",E30|E17,1,1,1,0,1,1,1,0
,6954,09,REVIEW,LONG,48,bull_pullback,7,5,"Healthy uptrend pullback with strong buy-bubble cluster and tight demand SL, but legpos30 88 and zero drop20 means entering high, not low — modest bull_pullback",E1|E40,1,1,1,0,1,1,1,0
,6962,09,SKIP,NONE,35,bull_pullback,4,6,"legpos30 97.7 with supply only 0.97ATR overhead blocking the target — entering at top of leg into immediate resistance, classic anti-pattern, skip",E23|E24,1,1,1,1,1,0,1,0
,6977,09,SKIP,NONE,78,late_top,2,8,"Textbook late_top / blow-off: rsi 76, legpos90 98, rise20 7.24, F_STRICT TOP_EXHAUSTION — never long here; SHORT-mirror candidate but no broken structure yet, s",E24|E23,0,0,0,1,0,1,1,0
,6992,09,REVIEW,LONG,46,bull_pullback,9,4,"Reasonable bull_pullback to demand with bullish reclaim and tight SL, but supply 1.29ATR overhead blocks the 2ATR target — capped upside, human review",E1|E30,1,1,1,1,1,1,1,0
,7022,09,SKIP,NONE,80,late_top,2,10,"Blow-off top: rsi_1d 75, legpos90 96, F_STRICT TOP_EXHAUSTION, NAS SHORT, RSI rolling over 12.7pts — strong SHORT-mirror late_top signal but long is forbidden; ",E24|E23,0,0,1,1,0,1,1,0
,7053,09,REVIEW,LONG,40,demand_reclaim,7,6,"Pullback in larger uptrend with oversold dip and bullish reclaim, but zero absorption bubbles, no structure confirmation and sharp trend_30 break — mixed, human",E40|E15,1,0,1,0,1,1,1,0
,7065,09,TAKE,LONG,64,bottom_reversal,9,4,"Bottom_reversal convergence: deep oversold (rsi8 27), capitulation drop20 2.6, legpos low 24, NAS LONG, tight V_REVERSAL_DEMAND colado, bullish reclaim — SELL b",E1|E40|E17,0,0,1,1,1,1,1,0
,7094,09,SKIP,NONE,68,late_top,3,8,"Late_top: legpos 95+, rsi 70, rise20 5, supply 0.39ATR overhead, LATE_WIDE stop, NAS SHORT — entering top into immediate resistance with wide risk, skip long",E23|E24,1,1,0,1,1,1,1,0
,7119,09,REVIEW,LONG,47,demand_reclaim,8,5,"CHoCH + strong bullish reclaim body 1.24 at mid legpos with clear path to 2ATR target, but absorption is thin (1 bubble) and demand not colado — moderate conver",E17|E30,1,0,0,1,1,1,1,0
,7129,09,TAKE,LONG,61,demand_reclaim,10,4,"Strong demand_reclaim convergence: V_REVERSAL_DEMAND colado, CHoCH bullish, 9 buy bubbles (5 large) strong absorption, bullish reclaim, healthy uptrend, 2ATR ta",E1|E30|E17,1,1,0,0,1,1,1,0
,7149,09,REVIEW,LONG,44,bottom_reversal,7,5,"Falling-knife dip to demand with very tight SL and CHoCH, but bear-div present, negative reclaim body and supply blocking target — conflicting (A7 bear-div is a",E15|E30,1,1,1,0,1,1,1,0
,7232,09,REVIEW,LONG,41,bottom_reversal,6,8,"Deep capitulation at low legpos (oversold ingredients present) but NO turn yet — reclaim_body -1.12, fresh bearish BOS, no buy absorption, no bullish CHoCH; cat",E15|E40,1,0,1,1,1,1,1,0
,7253,09,REVIEW,LONG,45,demand_reclaim,7,6,"Clean V_REVERSAL_DEMAND colado with bullish reclaim at mid legpos, but supply only 0.86ATR overhead blocks the 2ATR target and zero absorption confirmation — ca",E30|E17,1,1,0,0,1,1,1,0
,7408,09,SKIP,NONE,55,bull_pullback,4,7,"legpos30 92 with demand 4.9ATR away and a 5ATR-wide stop — entering top of leg with poorly-formed wide risk and no demand backing, skip",E24|E23,1,0,0,1,1,1,1,0
,7426,09,SKIP,NONE,82,late_top,2,8,"Textbook late_top blow-off: rsi 77, legpos90 96, rise20 6.24, F_STRICT TOP_EXHAUSTION, NAS SHORT, climax large-buy bubbles — never long; SHORT-mirror candidate,",E24|E23,0,0,0,1,0,1,1,0
,7454,09,REVIEW,LONG,52,demand_reclaim,7,5,"Pullback colado to demand (0.02ATR) with very tight SL and strong buy-bubble absorption in an uptrend, but reclaim_body still negative (no confirmed turn) and s",E30|E1,1,1,1,0,1,1,1,0
,7509,09,TAKE,LONG,63,bottom_reversal,9,4,"Bottom_reversal convergence: deep oversold rsi 31/rsi8 25, falling-knife sweet-spot, legpos low 33, NAS LONG, strong bullish reclaim 1.14 turning after washout,",E1|E40|E17,1,0,1,1,1,1,1,0
,7549,10,TAKE,LONG,70,bottom_reversal,8,3,"Bottom-reversal convergence: deeply negative trend_90, low legpos, fresh bullish CHoCH at a defended demand origin with SELL-bubble absorption and a tight V_REV",E1|E40,1,1,1,1,1,1,1,0
,7569,10,SKIP,NONE,80,late_top,2,6,"Mid/late-leg chase into overbought after a 6ATR rise; demand far and SL wide — entering high, not low. Anti-edge.",E24|E15,0,0,0,1,1,1,1,0
,7577,10,SKIP,NONE,88,late_top,1,6,"Classic late-top blow-off: high legpos, overbought, LATE_WIDE 7ATR SL with demand 7ATR away — exactly the loser footprint, never enter long here.",E23|E15,1,1,0,1,1,1,1,0
,7662,10,REVIEW,LONG,45,demand_reclaim,4,4,"Tight SL and mid legpos are encouraging but the 4h demand is 4.8ATR away and d1 supply is glued overhead capping the 2ATR target — convergence partial, human ey",E30|E34,1,1,0,1,1,1,1,0
,7710,10,REVIEW,LONG,40,bottom_reversal,4,5,"Low legpos and a bullish CHoCH point to a reversal context, but demand is 4ATR away, SL is wide, volume is holiday-thin and there is no absorption — weak/partia",E30|E39,0,0,0,0,1,1,1,0
,7731,10,REVIEW,LONG,52,demand_reclaim,5,4,"Bullish reclaim body with fresh CHoCH at low legpos over glued d1 demand is a real reclaim signature, but 4h supply 1.8ATR overhead caps the 2ATR target and SL ",E27|E30,1,1,0,0,1,1,1,0
,7765,10,SKIP,NONE,82,late_top,2,5,"Entering at legpos90 97 on a fresh BOS chase with demand 4.6ATR away and a 4.75ATR SL — buying the top, anti-edge.",E24|E15,1,0,0,1,1,1,1,0
,7797,10,SKIP,NONE,92,late_top,0,7,"F_STRICT TOP_EXHAUSTION with legpos 92, RSI 73 and blow-off — textbook should-not-long top.",E23|E24,1,1,0,1,0,1,1,0
,7816,10,SKIP,NONE,93,late_top,1,5,legpos90 99 with F_STRICT TOP_EXHAUSTION — the single highest-risk long context; refuse.,E23|E24,1,0,0,1,1,1,1,0
,7838,10,REVIEW,LONG,48,demand_reclaim,5,5,"Tight V_REVERSAL SL at glued defended demand with a falling-knife flush is winner-like, but high legpos, glued d1 supply overhead and a NAS SHORT signal conflic",E17|E34,1,1,1,0,1,1,1,0
,7869,10,SKIP,NONE,80,late_top,1,4,"High legpos overbought continuation chase with far demand and wide SL — buying strength near the top, anti-edge.",E24|E15,1,0,0,1,1,1,1,0
,7902,10,SKIP,NONE,90,late_top,1,5,"TOP_EXHAUSTION with rsi_1d 78.5 — daily overbought blow-off, refuse long.",E23|E24,0,0,0,1,1,0,1,0
,7924,10,TAKE,LONG,66,demand_reclaim,6,4,"Deep oversold pullback to a glued, defended demand origin with an exceptionally tight 0.30ATR V_REVERSAL SL and supply 3ATR overhead leaving room — strong deman",E17|E30,1,0,1,0,1,1,1,0
,7933,10,SKIP,NONE,60,late_top,2,5,"High legpos with d1 supply glued directly overhead capping any 2ATR target and demand not close — no path to target, skip.",E34|E24,1,1,0,1,1,1,1,0
,7943,10,SKIP,NONE,80,late_top,3,5,"legpos90 97 BOS chase with demand 4ATR away and wide SL — entering at the top of an extended leg, anti-edge.",E24|E15,1,0,0,1,1,1,1,0
,7993,10,REVIEW,LONG,47,demand_reclaim,4,4,"Strong bullish reclaim candle in a flat regime is appealing, but demand is 4.6ATR away with a wide SL and supply glued overhead capping the target — risk poorly",E30|E34,1,1,0,0,1,1,1,0
,8080,10,SKIP,NONE,78,unclear,3,5,"No 4h demand structure to anchor the entry, LATE_WIDE risk in a dead hour with no trigger — no convergence, skip.",E39|E34,0,0,1,1,1,1,1,0
,8095,10,REVIEW,LONG,50,bull_pullback,4,4,"Healthy-uptrend pullback to a defended demand origin with clear room above (no supply) is a valid bull_pullback, but legpos90 90 after 5 up-bars argues it is la",E27|E24,1,0,0,1,1,1,1,0
,8111,10,SKIP,NONE,93,late_top,1,6,"RSI 81, legpos 99, F_STRICT TOP_EXHAUSTION, 7ATR SL — the most extreme top in the batch, absolute refuse.",E23|E24,0,0,0,1,0,1,1,0
,8133,10,TAKE,LONG,68,bottom_reversal,7,4,"Capitulation bottom: deep oversold 5-bar flush into glued defended demand with a tight 0.85ATR V_REVERSAL SL, bullish CHoCH and below-VAL washout — the monument",E1|E40,1,0,1,0,1,1,1,0
,8149,11,REVIEW,LONG,52,bottom_reversal,6,4,"Oversold-recovery with fresh NAS LONG and glued D1 demand (0.22ATR), but 4H demand is far and SL is 2.86ATR with overhead supply at 2.37ATR capping a 2ATR targe",E17|E1,1,1,1,0,1,1,1,0
,8157,11,SKIP,NONE,80,late_top,2,7,"Classic chase-the-blow-off: legpos90 94, rise20 5.49ATR with zero pullback, price 3.41ATR above SMA20, LATE_WIDE SL 5.59ATR. No demand backing, entering at the ",E15|E34,1,0,1,1,1,1,1,0
,8200,11,SKIP,NONE,72,late_top,3,7,"This is the top of a parabolic move (rsi_1d 82, rsi_max8 88) just rolling over with bearish BOS and NAS SHORT — not a bottom. No 4H demand to lean on. LONG here",E24|E15,0,0,0,1,1,0,1,0
,8216,11,TAKE,LONG,74,bottom_reversal,7,3,"Textbook V_REVERSAL_DEMAND winner signature: glued 4H demand (0.51ATR), reclaim right at demand (0.04ATR), tight 0.61ATR SL, CHoCH bullish, capitulation drop20 ",E30|E40|E1,1,1,1,1,1,1,1,0
,8236,11,SKIP,NONE,60,unclear,3,7,"No convergence: demand untouched and far (3.55ATR), reclaim body negative, supply caps target at 1.69ATR, zero absorption signals, thin dead-hour volume. Tight ",E39|E23,1,1,1,0,1,1,1,0
,8277,11,SKIP,NONE,58,unclear,2,6,"Mid-range chop: demand far and untouched, weak reclaim 2.6ATR away, supply caps target at 1.36ATR, no absorption or momentum signals. Neither bottom-reversal no",E23|E39,1,1,1,0,1,1,1,0
,8338,11,SKIP,NONE,75,late_top,2,8,Extreme leg top (legpos30 96.8) into D1 supply 0.43ATR with fresh bearish BOS — entering long at exhaustion against overhead. Demand far and untouched. Mirror o,E15|E34,1,1,0,1,1,0,1,0
,8357,11,REVIEW,LONG,55,bottom_reversal,6,6,"Genuine falling-knife capitulation (sweet_spot=true, drop20 4.28ATR, rsi 35, range climax, SELL-bubble) but no turn yet — reclaim body -0.99, demand untouched, ",E27|E1,1,1,1,1,1,1,1,0
,8371,11,SKIP,NONE,68,bull_pullback,3,6,"Extended top of leg (legpos90 92.9, consec_up 5) into D1 supply 0.68ATR with no 4H demand to anchor and LATE_WIDE 4.64ATR SL. Chasing — not a clean pullback ent",E34|E15,1,0,0,1,1,1,1,0
