family|evidence_name|source|domain|saw_correctly|failed_isolated|status|reader_use|reader_not_use|helps
INDICATOR|demand_supply_distance_quality|pine_boxes Custom OB v11 as-of-bar demand_supply_quality dsq_analyze V2_2|posicao estrutural distancia ATR + qualidade; melhor separador estrutural small-n|supply_dist_from_polarity BOM2.48 vs NAO1.08; dist_supply 1.93 vs 0.78 NAO compra contra teto; demanda 17/17|small-n 17/6 calibracao; fragil BOM q=0 supply perigoso VENCE; rejected/broken(0/0) superficial|REQUIRES_CASE_READING|distancia ATR+qualidade como soft context/visual_priority; nao entra colado ao supply|NUNCA presenca binaria/threshold ATR apertado (falso-null at_D1_demand 0/17); NUNCA supply-quality veto|markup-through-supply-vs-supply-rejection;bear-buy-legitimo-vs-trap;cortar-take-losers
INDICATOR|overhead_supply_awareness|has_overhead_aware_context_feature HAS_OVERHEAD SPEC+REPORT|desconflar overhead-bearish vs no-overhead-ATH; necessario nao suficiente|has_4h_supply_overhead gate necessario: resolve no-overhead/ATH (6 A) + block S40/T40; None+ovh0=bullish|composite pior bal 0.618<0.81 recallA 0.35; shuffle-null P0.070 ns; broken_before raro nos winners; n44|CONDITIONAL_EVIDENCE|has_overhead como read-gate (teto acima?); cruzar dist_supply x has_overhead; momentum desambigua close-supply-bull|nunca suficiente/promovida; nunca broken_before=markup signal; nunca re-tunar aos 44 IDs|markup-through-supply-vs-supply-rejection;topo/range/chop
INDICATOR|plot_id_mapping_correctness|feedback_validate_plot_id_mapping confluence BUY plot_0/2/4|pre-condicao de integridade p/ qualquer feature bubble; nao leitura de mercado|map correto BUY plot_0/2/4 SELL plot_6/8/10 POC plot_12; plot_8=MEDIUM plot_10=LARGE visual|map invertido 2026-06-05 propagou todo Caminho B (5 dias); erro invisivel em metrica de qualidade|DO_NOT_USE_AS_GATE|validar map (Counter+confirmar) ANTES de qualquer feature bubble; citar map no script|nunca bubbles sem validar map; nunca map superseded 06-05; resultados antigos plot_8 sao MEDIUM nao LARGE|bear-buy-legitimo-vs-trap;topo/range/chop
REGIME|regime_classifier_b_v3|memory/project_regime_classifier_v3_official.md|estado macro system-level 3-state BULL/TRANSITION/BEAR (cascade+vol+STALL+SHARP_DROP+MACRO_BROKEN)|mapeia acumulacao/distribution/rally; validado visual; BEAR-state carrega MAIOR avgR LONG +1.32R (mean-reversion vive la)|nenhum gate de regime bateu LONG puro (BULL-only +83.7 vs +142); latencia 5-15d|CORE_CONTEXT|conditioning/mapa de significado + ativacao SHORT em BEAR+MACRO_BROKEN|como gate LONG ou autoridade|reversao/fundo/capitulacao;topo/range/chop;continuacao-estrutural
REGIME|context_fuel_v1_7axis|docs REGIME_CONTEXT_FUEL_V1 results/l2_bpt_regime_v1_report.md|contexto como SAIDA de 7 eixos causais; multiplicativo|dist_4h_supply ba=0.946 arvore pura 19A/0B; shuffle-null P=0; mesmo dist_supply bull-ou-bear por has_overhead|falha criterio ancoras (corta T34/35/37/41+S29-32 ATH none-overhead; deixa S40 passar); sinal parte artefato de composicao; held-out fragil n=3|REQUIRES_CASE_READING|dist_supply como UM termo condicional a has_overhead; tratar None=bullish-ATH; caso-a-caso|dist_supply sozinho/monotono; legpos cego; feature unica como regra; promover a v2|markup-through-supply-vs-supply-rejection;preservar-monumentais;continuacao-estrutural
REGIME|supply_fuel_global|l2_bpt_supply_fuel_global.py|sup_reject AND fuel_low loser-cut no full 276 (DA pivot do carve-out bear_leg)|marcava 100% losers bem-cortados no bear_leg (cut lift 1.63); supply-reject+low-fuel=nao-convexidade|engine states flat na convexidade full-276; supply-reject e flat; nao promovido|CONDITIONAL_EVIDENCE|soft-warning combinado (reject+sem-fuel) dentro do bear_leg onde nasceu|veto global cego no 276; assumir mesmo lift fora do bear_leg|cortar-take-losers;markup-through-supply-vs-supply-rejection
REGIME|bom_tiering_supply_risk|docs BOM_TIERING_SUPPLY_TRADEOFF bom_tiers.py|17 BOM tiers A/B/C; 7 regras supply-risk custo event-level|supply<=0.5ATR corta 2/6 NAO+415 UNK CUSTO ZERO BOM; A-tier intacto todas regras; killer-axis=profundidade do veto|>1.0ATR mata B-tier fragil; C-tier nao supply-addressable; NAO n=6 contraste; R so 3/17|CONDITIONAL_EVIDENCE|supply-risk so na borda TIGHT (<=0.5ATR) soft_warning+visual_priority; distancia+qualidade|hard-veto por supply; aprofundar >1.0ATR; n=6 como prova; podar C-tier via supply|cortar-take-losers;preservar-monumentais;markup-through-supply-vs-supply-rejection
REGIME|f_strict_x_regime|docs F_STRICT_REGIME_READING l2_bpt_fstrict_window.py|legpos90>=85 AND RSI>=70 split por regime sl200|F_STRICT=discriminador de topo/exaustao util; corte idx9390/6453 correto; pior loser no bull mais forte (blow-off)|tese regime-separa FALSA: near-breakeven todo regime W/L interleaved; regime-gate EV-baixo|WARNING_FAILURE_MODE|F_STRICT como flag human-review/Telegram; regime como UM input humano; conditioner=estrutura per-trade|ignorar F_STRICT em bull (net~zero); auto regime-gate block; confiar magnitude-de-regime|cortar-take-losers;topo/range/chop
REGIME|capitulation_carrier|project_l2_bpt_exit_lab_regime_bound.md LEARNED_CONTEXT_VS_CONVEXITY|pos-capitulacao/bear-context como carrier de monumentais|bear-context (143/276) avgR +0.28 acima da base 9/15 monumentais; runners onde sinais bearish clusterizam|sinal forte tiny-n (CLIMAX_RECLAIM n10) ruido; BE cond bear-context REJEITADO (so scratch nos V)|POLARITY_DEPENDS_ON_CONTEXT|reconhecer que bear/capitulacao gera monumentais -> NAO proteger/BE-armar la; ler assinatura de V|tratar bear-context como loser-prone; tiny-n lift como edge; bloquear bear cego|reversao/fundo/capitulacao;bear-buy-legitimo-vs-trap;preservar-monumentais
REGIME|learned_context_vs_convexity|docs LEARNED_CONTEXT_VS_CONVEXITY l2_bpt_learned_states_vs_convexity.py|2 engines estados ricos vs convexidade (runner MFE>=5) base 276|markup-vs-reject FLAT (1.00 vs 0.96); inversao coerente n>=30: runners em STRONG_BEAR/SELL_DISTRIBUTION/CORRECTIVE_BEAR morrem em BULL_PULLBACK 0.57|engine polarizado ao contrario (bull-continuation bias subpondera reversal runners); markup-supply nao e gargalo; lifts in-sample|CONTRAST_LENS|re-polarizar leitura p/ reversao; estados engine-bearish=possivel zona de runner|confiar na preferencia bull-continuation; markup-reject como next-feature; lift in-sample como resultado|reversao/fundo/capitulacao;bear-buy-legitimo-vs-trap;markup-through-supply-vs-supply-rejection
REGIME|edge_non_stationary_regime_bound|project_l2_bpt_exit_lab_regime_bound.md|split temporal do edge; exit lab 9 politicas sobre SL estrutural|exit nao e alavanca (todas +0.21..0.30 ruido; BE piora); alavanca real=regime contexto; beta long-gold motor|NAO-ESTACIONARIO: build 2020-22 +0.02 vs holdout 2023-26 +0.39 carrega tudo; 13/15 mons no build -> preserve-mons intestavel OOS|WARNING_FAILURE_MODE|aviso vs super-confiar num periodo; dimensionar como beta condicionado a BULL/TRANSITION ou SHORT espelho; exit baseline +3R default|concluir WR/avgR de um bloco; tunar exit in-sample; tratar 2023-26 como estacionario|continuacao-estrutural;topo/range/chop;preservar-monumentais
RISK|SL_estrutural_swing_origin_M5|SL_STRUCTURAL_TRADE_BY_TRADE.md sl_structural.py|onde colocar stop trade-a-trade (=SL visual do Cris)|SL correto=estrutura nao low apertado; recupera bad_SL 5->10/12; WR 42.8->48.2; 2020-22 positivo +5.3R|97/276 SL>4ATR max 15ATR FATAL prop-firm; sumR +62.5<baseline +78.8 (ruido); recuperacao circular|CORE_CONTEXT|leitura da estrutura defendida que segurou; informa forma do risco; eixo proprio|SL mecanico operavel (largo); gerador de R-multiplo; provar edge por sumR|preservar-monumentais;bear-buy-legitimo-vs-trap;reversao/fundo/capitulacao
RISK|SL_cap_4ATR|SL_STRUCTURAL_CAP4_RESEARCH.md l2_bpt_cap4.py|tornar SL prop-firm-operavel limitando largura|limita risco DD 24->17 max 3.97ATR; bucket >4ATR e ruido avgR +0.064|REJECT corta E1+E17 V-reversals; REVIEW=reject disfarcado; CLAMP +77.4 e miragem (stop ficticio FATAL)|WARNING_FAILURE_MODE|flag de viabilidade: SL>4ATR=entrada-tarde/estrutura-larga p/ review humano|teto automatico reject/clamp; otimizacao de PnL|cortar-take-losers;topo/range/chop
RISK|SL_contextual_demanda_4H|SL_CONTEXTUAL_STRUCTURAL_RESEARCH.md sl_context.py|SL por contexto: tight perto largo se base funda|resolve largura (>4ATR 92->43 max 15->11); E17 8.4->1.03ATR WIN +3.90; DD 16.5; repaint PASS|bootstrap WASH P~0.53 vs mecanico; ganho vem do no_trade nao do SL; tight_6bar vence sumR; E13 sweep irredutivel|CORE_CONTEXT|SL risk-shaped causal; demanda-perto=curto seguro vs base-funda=largo; eixo proprio|como edge (expectancy-neutral); prova de retorno; binario at_demand (usar distancia)|preservar-monumentais;reversao/fundo/capitulacao;bear-buy-legitimo-vs-trap;markup-through-supply-vs-supply-rejection
RISK|exit_decomposition_uncapped|OUTCOME_EXIT_REINSTRUMENTATION_REPORT.md exit_reading_decomposition.py exit_calibration_full276.py|medir convexidade do path antes de julgar entrada|cap +3.9R apaga 45-65% edge; capped +84R vs let-run +241R vs V-stair +207R; 72 runners 30 monstros; engine ANTI-seletivo|nao resgata selecao (harvester beta); V-stair inicial era bug; convexidade nao-estacionaria|CONDITIONAL_EVIDENCE|regua economica: convexity-capture uncapped por episodio+P1/P2; capped so sanity|capped como arbitro; concluir "so exit importa entrada inutil"|preservar-monumentais;continuacao-estrutural;reversao/fundo/capitulacao
RISK|convexity_target_function|CONVEXITY_TARGET_FUNCTION_SPEC.md convexity_attribution_engine.py|ordem de prioridade do eixo risco-exit|harvester nao seletor; WR baixo=feature; cortar 1 monstro>muitos losers; edge=EXIT/risco (CONVEXITY 48+EXIT 25+RISK 24 vs NO_EDGE 168)|convexidade e BETA (random capta mesmo runner_freq p=0.42); engine nao preserva capital; custo nao modelado|CORE_CONTEXT|proteger runners/monstros; medir uncapped; DD/streak=restricao nao objetivo|ranquear por WR/PF capado; cortar runners p/ subir WR; convexidade-beta=alpha entrada|preservar-monumentais;continuacao-estrutural;reversao/fundo/capitulacao
RISK|BE_rejected|project_l2_bpt_exit_lab_regime_bound.md|protecao de loser via break-even|qualquer scratch perto da entrada baixa media; BE recua o monumental antes do run; bear-context (143) ja +0.28 com 9/15 mons|PIORA a media; premissa bear=loser-prone FALSA; mesma armadilha do legbear block|WARNING_FAILURE_MODE|aviso: scratch/BE anti-correlacionado com assinatura V-reversal; nao proteger o que mais paga|como politica de exit; gate de regime move-to-entry em bear|preservar-monumentais;bear-buy-legitimo-vs-trap
RISK|partial50_2R6R|exit_lab_regime_bound.md project_l2_bpt_sl_structural.md E1_E17_EXIT_SL_AUDIT.md|gestao de streak prop-firm FundedNext<=5|lisa curva streak 9 vs 13 DD med 17R; piso +1R apos +2R; exonerado E1/E17|sumR ~= baseline (trade-off); custo ~2R nos mons; reduz convexidade do tail|CONDITIONAL_EVIDENCE|exit FIXO quando prioridade=streak/curva; let-run +3R se prioridade=R total|edge ou maximizador; excecao por trade (overfit n=2); arbitro da entrada|topo/range/chop;cortar-take-losers
RISK|exit_noise_regime_bound|project_l2_bpt_exit_lab_regime_bound.md temporal splits|estacionariedade da edge exit/regime|nenhuma das 9 politicas bate +3R fora do ruido; build 2020-22 +0.02 vs holdout 2023-26 +0.39; beta long-gold|preservar-mons intestavel OOS (13 build/2 holdout); exit-tuning in-sample; alavanca=regime|DEAD_AS_AUTHORITY_BUT_KEEP_AS_CONTEXT|aviso exit nao separa; focar regime/contexto; exit baseline default|ranquear exits por BOMsumR; exit como edge; concluir de periodo com bugs|continuacao-estrutural;topo/range/chop;reversao/fundo/capitulacao
READING|episode_as_unit_canon|EPISODE_READING_CANON.md feedback_episode_unit_of_analysis_canon|meta-lei: unidade=episodio leitor julga / medidor nao|colapsar convergencia em aritmetica mata conditioning; bear-leg muda sentido por weekly+cascade; separar leitor/medidor|nao e detector nao gera numeros nao recupera trade sozinho|CORE_CONTEXT|lei mae: segurar episodio inteiro, condicionar todo fator pelo timeframe superior, saida=narrativa graduada|nunca colapsar em score/voto/threshold; medidor nunca arbitra|bear-buy-legitimo-vs-trap;recuperar-skip-winners;cortar-take-losers;reversao/fundo/capitulacao
READING|sosia_surface_clustering_3a|l2_bpt_sosia_clustering.py e279217|motor contrastivo: match superficie discriminadores fora do match|isola clusters HARD (runner+loser mesma superficie); reproduziu par 4918<->1661|cego ao outcome; so localiza substrato; match grosseiro gera singletons|CONTRAST_LENS|discriminar ENTRE casos: puxar sosias e ler o que varia fora do match (weekly/cascade/forma)|nao usar cluster como classe homogenea nem gate; outcome so verifica nao arbitra|bear-buy-legitimo-vs-trap;cortar-take-losers;markup-through-supply-vs-supply-rejection
READING|continuacao_estrutural_3b|l2_bpt_continuation_structural.py 69423ae|mesmo-movimento via swing-high de origem da perna (pivo causal K=4 prom>=1.2ATR)|liga 4926 ao topo pre-flush de 4918; resgata monumental skipado +18R|so agrupa por ancora nao julga qualidade; sensivel a K/PROM|CONDITIONAL_EVIDENCE|se candidato tem irmao de movimento que ja correu tratar continuacao como contexto pro; nao cortar 2o evento da mesma perna pela superficie local|nao como gate de TAKE; mesmo movimento nao=runner garantido|continuacao-estrutural;recuperar-skip-winners;preservar-monumentais
READING|reading_consistency_audit|l2_bpt_reading_consistency_audit.py e279217|diagnostico de qualidade: leitura usou eixo weekly+cascade ou superficie?|confere legit-vs-trap contra criterio-semente + se narrativa cita o eixo|e auditoria nao gera leitura; criterio-semente e proxy do eixo holistico|CORE_CONTEXT|guarda anti-superficie: confirmar que rotulo bear condiciona pelo weekly/cascade antes de fechar|nao converter criterio-semente em regra dura; mislabel-count e sinal nao corte|bear-buy-legitimo-vs-trap;cortar-take-losers
READING|dynamic_reader_v1|l2_bpt_dynamic_reader_v1.py STATE_MACHINE_SPEC|maquina de estados causal: 7 sub-leitores de trajetoria convergentes|markup-vs-rejeicao como trajetoria (nao snapshot); separa legit-buy de trap; 7 skip-winners recuperados lift 1.21|PARTIAL (so 7 sub sem engines); convergencia=voto somado (proibido); recall baixo|DEAD_AS_AUTHORITY_BUT_KEEP_AS_CONTEXT|7 sub-estados como vocabulario de trajetoria que alimenta a narrativa|nao somar os 7 votos como policy; aritmetica proibida como arbitro|bear-buy-legitimo-vs-trap;markup-through-supply-vs-supply-rejection;reversao/fundo/capitulacao
READING|dynamic_reader_v2_staged|l2_bpt_dynamic_reader_v2_staged.py v2_staged_comparison.csv|votos por fonte em 4 estagios (sub+engines+layers)|S2 melhor in-sample (lift 1.30 19 recuperados 9 cortados +204.7R null0.001); inversao STRONG_BEAR_CONFIRM precede runners|S4 thr1 dilui lift->1.04 (empilhar fontes nao=sinal); ganho S2 era in-sample; voto somado|DO_NOT_USE_AS_GATE|tabela de evidencia por fonte; ler forte-convergencia nao soma frouxa; demonstra que empilhar dilui|nao tratar net-vote como policy; nao confiar na lift 1.30 (nao-validada out-of-slice)|recuperar-skip-winners;cortar-take-losers;bear-buy-legitimo-vs-trap
READING|dynamic_reader_v3_subwindow|l2_bpt_dynamic_reader_v3_subwindow_validation.py validation.csv|teste out-of-slice dentro da 276: deriva sinal numa metade testa na outra|expos que lift 1.30 era in-sample: out-of-slice lift 1.16/1.21 null_p 0.30/0.28 nao-signif|so refuta nao oferece alternativa; ainda e colapso-em-score|WARNING_FAILURE_MODE|prova permanente de que vote-convergence sobre 276 e in-sample; reforca leitura holistica nao somada|nao usar sinais de voto in-sample como regra; null0.001 in-sample nao e edge|cortar-take-losers;topo/range/chop
READING|visual_discrimination_taxonomy|VISUAL_DISCRIMINATION_TAXONOMY.md visual_taxonomy.py|9 categorias por mecanismo; metrica acceptance_after_reclaim|discriminador=aceitacao vs rejeicao ao longo do tempo nao presenca; supply-perto nao e veto; perigo=repique em bear leg|primeira-passada mecanica PENDING (nao inspecao); bear_leg proxy cru; janela 2-4 candles; small-n mono-regime 2020|REQUIRES_CASE_READING|vocabulario de mecanismo + pergunta-eixo aceitou-ou-rejeitou lido caso a caso no chart antes de medir|nao tratar como classificacao confiavel nem camada de qualidade; proxies sem confirmacao visual|markup-through-supply-vs-supply-rejection;bear-buy-legitimo-vs-trap;topo/range/chop
READING|trade_qualification_engine_84f|TRADE_QUALIFICATION_ENGINE.md+STATUS.md qualification_extract.py|decisao trade-a-trade: 84 fatores causais cego TAKE/REVIEW/SKIP monotonico|TAKE WR53/+0.91/DD4.4 monotonico; bate 3 baselines P>=0.99; held-out +0.73; 2.3x cobertura + discrimina dentro da regra|edge fino: 2/3 re-deriva legpos+demanda n32 73% sumR 2023-26 beta; 0 SHORT; OOS bear refuta; nao promovido|CONDITIONAL_EVIDENCE|gradiente de qualidade TAKE>REVIEW>SKIP no escopo LONG bull/dip/fundo; supply_distance continua (cohenD 0.83)|nao promover; nao regime-geral/SHORT; nao extrair filtro novo dos 276; nao flag binario/confidence/setup_type|cortar-take-losers;recuperar-skip-winners;reversao/fundo/capitulacao;preservar-monumentais
READING|multi_specialist_reader_challenger|MULTI_AGENT_ENGINE_DESIGN.md CHECKPOINT_2026_06_19|mesa por trade: Stage A->20 especialistas evidencia estruturada->DA->aggregator constroi tese|Stage A re-deriva setup_type cego (nao-circular auditavel); 20137 evidencias 100% validas; nas DECISIVE; capit+rsi unica confluencia genuina; preserva gestalt observavel|maioria CONTEXT_ONLY/NOISY; DA veto vacuoso (bloquearia 96% skip-winners); capit+rsi REFUTADA OOS (null P54%); aggregator overfit; design only|CONDITIONAL_EVIDENCE|especialistas geram evidencia estruturada disjunta + DA + tese integrada; tornar gestalt auditavel sem checklist; nas/capit+rsi so diagnostico|nao construir aggregator/voto agora; capit+rsi nao e profit rule; gate exige novo>=atual|cortar-take-losers;reversao/fundo/capitulacao;bear-buy-legitimo-vs-trap;topo/range/chop
FOUNDATION|entry_bos_choch_no_isolated_edge|ENTRY_ATTRIBUTION_BOS_NOT_EDGE.md rabbithole verdade#1|entry trigger/attribution|BOS reclaim nao bate random-long legpos-matched (delta+0.12<1SE; ~80% high-bucket e drift); trigger refinement e dead lever|mediu todo o blend BOS (reversals+continuations+tops) avg dilui edge real; legpos-baseline lava capitulation STATE; testou isolados nao convergencia|CORE_CONTEXT|tratar BOS como proxy ruidoso (as vezes bottom-reversal winner as vezes high-leg/top drift); ler QUAL reclaim e QUANDO-nao-entrar|nao refinar trigger BOS; nao pontuar por BOS disparar; nunca medir entrada vs zero so vs long-matched-by-legpos|bear-buy-legitimo-vs-trap;cortar-take-losers;recuperar-skip-winners
FOUNDATION|losers_auction_irreducible_at_entry|rabbithole verdade#2 CURRENT_BOTTLENECK notes|separabilidade runner-vs-loser|target-7 nao separavel c/97 feats (cluster 1.03); microstructure INVERTE; mesmo vetor precede good-breakout E micro-top-loser; todos readers falham no 276|irredutibilidade condicional ao feature-set frozen-4H atual; feature ausente=sub-4H OHLC contiguo; sem-separacao nao=sem-estrutura|CORE_CONTEXT|tratar markup-vs-rejection como gargalo perene nao-resolvido; esperar near-supply compartilhado por runners+losers; flag baixa-confianca nao corte limpo|nao prometer splitter limpo nos dados atuais; nao rebatizar microstructure; nao alegar separador sem lift>1.0 no 276 via null/sub-window|markup-through-supply-vs-supply-rejection;cortar-take-losers;continuacao-estrutural
FOUNDATION|legpos_validated_causal_axis|CONSOLIDATED_KNOWLEDGE consolidated_knowledge memory|positional-structural (leg maturity 60d)|primeira/unica feature a separar par antes-inseparavel E40 win legpos56 vs E39 trap legpos89; isola top-traps (legpos 89-95) no estrato HIGH|NAO separa no agregado (inverte) - dois mecanismos (Trap A exaustao-topo high-legpos vs Trap B downtrend-1D reclaim baixo/mid); eixo unico cobre PARTE|CORE_CONTEXT|lente posicional backbone: onde a entrada esta na perna + direcao da leg macro; mapa 2x2; high legpos+macro-top=trap-prone|nao gate por legpos sozinho (inverte no agregado); nao threshold numerico; nao colapsar os dois mecanismos|topo/range/chop;bear-buy-legitimo-vs-trap;preservar-monumentais;reversao/fundo/capitulacao
FOUNDATION|indicators_identify_macro_top_not_per_trade|CONSOLIDATED_KNOWLEDGE GARGALO_AUDIT inverted-Auction|papel dos indicadores (RSI-div/bubbles/NAS/volume)|indicadores nao comparam winner x loser; identificam MACRO BEAR TOP legitimo vs pullback bull-leg-mid (so E24 acendeu); near/under-supply em bull=markup quebrando (BOM)|usados como equal-veto per-trade afundam winners a REVIEW (16/16 cortes errados tinham Auction!=TAKE); polaridade invertida cortou markup-runners; fracos isolados|POLARITY_DEPENDS_ON_CONTEXT|confirmacao macro-top condicionada a direcao da leg (bubble_SELL reversal em fundo, bubble_BUY pullback uptrend); supply-near=markup em bull rejeicao so em exaustao; macro layer dominante|nao dar equal-veto aos indicadores; nao ler near-supply como rejeicao em bull-leg; nao indicador unico como gate per-trade|topo/range/chop;markup-through-supply-vs-supply-rejection;bear-buy-legitimo-vs-trap
FOUNDATION|nine_known_winners_list|consolidated_knowledge memory CONSOLIDATED_KNOWLEDGE|ancoras ground-truth de winners / alvo de recall|set durable must-preserve como ancora de recall; Win1 reversal E27/E30/E40 Win2 pullback E1/E5/E13/E17/E21; E1/E17=COVID-bottom capitulacao exit-sensitive|pequeno (~9) e circular se usado p/ ratificar selector (overfit 9-17); E23 reconciliado OUT 2026-06-18 blow-off-top -> lista agora 8; E13=bad-pivot-selection nao SL-fail|CONDITIONAL_EVIDENCE|gate de recall must-preserve - leitura que dropa esses e suspeita; E23 agora REJECT top-exhaustion; E1/E17 exit-sensitive|nao usar lista curada p/ provar edge ou ratificar selector (circular); nao contar E23 como winner; nao lockar thresholds contra os 9|preservar-monumentais;recuperar-skip-winners;reversao/fundo/capitulacao
FOUNDATION|outcome_proxy_lift_per_episode|feedback_outcome_proxy_lift_and_episode OUTCOME_PROXY_FAILURE_AUDIT|metodologia de medicao de outcome|MFE/MAE forward proxy mediu drift bull nao edge (66% vs 67.3% base=lift 0.99x null); 2965 cand=276 episodes; real-trade SL-estrutural=BOM WR73%/lift1.83x|absolute hit-rate fixed-window pegou NAO early runup sem ancora estrutural; failure-side nunca calibrado (calib_ok=False NAO 2/6)|WARNING_FAILURE_MODE|sempre reportar lift=cand-rate/base-rate (~1.0x=null); agregar por EPISODIO (dedup serial) reportar N real ~276; exigir ancora estrutural antes de continuacao|nao reportar absolute per-candidate hit-rate como edge; nao contar per-bar; nao confiar fixed-window MFE no failure side|cortar-take-losers;continuacao-estrutural;preservar-monumentais
FOUNDATION|forty_five_groups_calibration_not_validation|feedback_calibration_vs_validation_45_groups rabbithole verdade#4|guard-rail anti in-sample peeking|grupos rotulados com hindsight=calibracao (descobrir predicados eliminar overlap); todo "sucesso" foi no 62 colapsa no 276/permutacao; visual-anchoring circular (16/18 tautologico)|thresholds/precision/lift vendo os mesmos grupos=in-sample peeking; concordancia-com-Cris confundida com skill preditivo|WARNING_FAILURE_MODE|usar grupos curados so p/ descobrir predicados e eliminar overlap; validar no 276 via out-of-slice sub-windows + null/jackknife/bootstrap|nao reportar precision/recall/lift sobre grupos curados como edge; nao lockar thresholds vistos; nao ratificar/concluir WR/DD; nao Cris-agreement como skill|cortar-take-losers;recuperar-skip-winners;continuacao-estrutural
FOUNDATION|no_oos_no_crossasset_trava|feedback_no_oos_no_crossasset_validation|hard lock de metodo de validacao|cross-asset/bear-2013-16 nunca refutam XAU sozinhos (XAU-specific by design); limit-of-regime nao=invalidacao; in-sample-selection resolvido removendo selecao (convergencia causal) nao outro dataset|hard constraint nao finding; proibe o unico teste falsificador (OOS-bear) entao deve parear com validacao estrita inside-276 p/ evitar infalsificabilidade|WARNING_FAILURE_MODE|em flag de in-sample-selection: substituir threshold fitado por convergencia causal; sub-windows inside 276; null/jackknife/bootstrap/+-20%; lift-per-episode; trade-by-trade por tipo de exit|nunca escrever "needs OOS/held-out/cross-asset"; nao recomendar EUR/USOUSD ou bear-2013-16 como gate; nao cross-asset p/ refutar XAU|continuacao-estrutural;bear-buy-legitimo-vs-trap;preservar-monumentais
FOUNDATION|recall_gate_before_backtest|feedback_recall_gate_before_backtest CONSOLIDATED_KNOWLEDGE|ordenacao de sanity gate do detector|se existe GT de winners desejados validar recall ANTES do censo; v1 recapturou 2/17 GT (viraram losers)->censo net-neg NULL (detector falhou nao conceito); v2.2 recall 17/17 ancora|recall alto comprado com permissividade (~1109/ano ~0 precision); recall preserva winners mas nao confere edge; detector recall-passing ainda e so candidate generator|WARNING_FAILURE_MODE|ordem: build detector -> recall gate >=15/17 BOM -> so entao metricas; leitura que dropa known winners e suspeita e deve ser re-especificada|nao reportar metricas de detector com recall baixo/nao-verificado; nao tratar net-neg de low-recall como refutar conceito; nao equiparar recall com edge|recuperar-skip-winners;preservar-monumentais;cortar-take-losers
